
Iteratia 309 : 	x0 = 13.999492059157408		delta = 1.6439881784592119e-06
Iteratia 310 : 	x0 = 13.999490415168147		delta = 1.6439892609681174e-06
Iteratia 311 : 	x0 = 13.999488771177804		delta = 1.6439903434781906e-06
Iteratia 312 : 	x0 = 13.999487127186377		delta = 1.6439914259902376e-06
Iteratia 313 : 	x0 = 13.999485483193869		delta = 1.6439925085037449e-06
Iteratia 314 : 	x0 = 13.999483839200279		delta = 1.6439935910184941e-06
Iteratia 315 : 	x0 = 13.999482195205605		delta = 1.6439946735349986e-06
Iteratia 316 : 	x0 = 13.99948055120985		delta = 1.643995756053109e-06
Iteratia 317 : 	x0 = 13.99947890721301		delta = 1.6439968385726811e-06
Iteratia 318 : 	x0 = 13.99947726321509		delta = 1.6439979210942979e-06
Iteratia 319 : 	x0 = 13.999475619216085		delta = 1.6439990036167195e-06
Iteratia 320 : 	x0 = 13.999473975215999		delta = 1.6440000861412588e-06
Iteratia 321 : 	x0 = 13.99947233121483		delta = 1.6440011686676247e-06
Iteratia 322 : 	x0 = 13.999470687212579		delta = 1.644002251194796e-06
Iteratia 323 : 	x0 = 13.999469043209245		delta = 1.6440033337238654e-06
Iteratia 324 : 	x0 = 13.999467399204828		delta = 1.6440044162545427e-06
Iteratia 325 : 	x0 = 13.99946575519933		delta = 1.6440054987870462e-06
Iteratia 326 : 	x0 = 13.999464111192749		delta = 1.6440065813209381e-06
Iteratia 327 : 	x0 = 13.999462467185085		delta = 1.644007663856292e-06
Iteratia 328 : 	x0 = 13.999460823176339		delta = 1.6440087463930335e-06
Iteratia 329 : 	x0 = 13.999459179166509		delta = 1.6440098289317484e-06
Iteratia 330 : 	x0 = 13.999457535155598		delta = 1.6440109114717772e-06
Iteratia 331 : 	x0 = 13.999455891143604		delta = 1.644011994013341e-06
Iteratia 332 : 	x0 = 13.999454247130528		delta = 1.6440130765568056e-06
Iteratia 333 : 	x0 = 13.999452603116369		delta = 1.6440141591012188e-06
Iteratia 334 : 	x0 = 13.999450959101127		delta = 1.6440152416478247e-06
Iteratia 335 : 	x0 = 13.999449315084803		delta = 1.644016324195598e-06
Iteratia 336 : 	x0 = 13.999447671067395		delta = 1.6440174067452728e-06
Iteratia 337 : 	x0 = 13.999446027048906		delta = 1.6440184892963344e-06
Iteratia 338 : 	x0 = 13.999444383029335		delta = 1.6440195718487118e-06
Iteratia 339 : 	x0 = 13.99944273900868		delta = 1.644020654403063e-06
Iteratia 340 : 	x0 = 13.999441094986944		delta = 1.644021736958874e-06
Iteratia 341 : 	x0 = 13.999439450964124		delta = 1.6440228195160747e-06
Iteratia 342 : 	x0 = 13.999437806940222		delta = 1.6440239020752467e-06
Iteratia 343 : 	x0 = 13.999436162915236		delta = 1.6440249846358078e-06
Iteratia 344 : 	x0 = 13.999434518889169		delta = 1.6440260671976834e-06
Iteratia 345 : 	x0 = 13.99943287486202		delta = 1.6440271497611664e-06
Iteratia 346 : 	x0 = 13.999431230833787		delta = 1.6440282323264776e-06
Iteratia 347 : 	x0 = 13.999429586804473		delta = 1.6440293148933217e-06
Iteratia 348 : 	x0 = 13.999427942774075		delta = 1.6440303974612631e-06
Iteratia 349 : 	x0 = 13.999426298742595		delta = 1.6440314800314674e-06
Iteratia 350 : 	x0 = 13.999424654710031		delta = 1.6440325626029896e-06
Iteratia 351 : 	x0 = 13.999423010676386		delta = 1.6440336451758248e-06
